CouncillorName,node_idx,CouncillorId,PartyAbbreviation,Color
Gmür-Schönenberger Andrea,157,4181,PDC,orange
Grüter Franz,158,4162,UDC,royalblue
Hess Erich,159,4163,UDC,royalblue
Imark Christian,160,4164,UDC,royalblue
Keller-Inhelder Barbara,161,4165,UDC,royalblue
Köppel Roger,162,4166,UDC,royalblue
Marchand-Balet Géraldine,163,4183,PDC,orange
Marti Min Li,164,4197,PSS,r
Martullo-Blocher Magdalena,165,4167,UDC,royalblue
Mazzone Lisa,166,4186,PES,forestgreen
Meyer Mattea,167,4198,PSS,r
Nantermod Philippe,168,4193,PLR,cyan
Nicolet Jacques,169,4168,UDC,royalblue
Page Pierre-André,170,4169,UDC,royalblue
Ruppen Franz,171,4170,UDC,royalblue
Salzmann Werner,172,4172,UDC,royalblue
Sauter Regine,173,4202,PLR,cyan
Seiler Graf Priska,174,4199,PSS,r
Sollberger Sandra,175,4173,UDC,royalblue
Steinemann Barbara,176,4174,UDC,royalblue
Tuena Mauro,177,4175,UDC,royalblue
Vogt Hans-Ueli,178,4176,UDC,royalblue
Walliser Bruno,179,4177,UDC,royalblue
Wehrli Laurent,180,4194,PLR,cyan
Zanetti Claudio,181,4178,UDC,royalblue
Zuberbühler David,182,4179,UDC,royalblue
Bigler Hans-Ulrich,183,4209,PLR,cyan
Jauslin Matthias Samuel,184,4208,PLR,cyan
Egger Thomas,185,4212,CSPO,gray
Bendahan Samuel,186,4213,PSS,r
Gugger Niklaus-Samuel,187,4214,PEV,gray
Brunner Hansjörg,188,4215,PLR,cyan
Gutjahr Diana,189,4216,UDC,royalblue
Cattaneo Rocco,190,4217,PLR,cyan
Kälin Irène,191,4218,PES,forestgreen
Crottaz Brigitte,192,4219,PSS,r
Roduit Benjamin,193,4220,PDC,orange
Töngi Michael,194,4221,PES,forestgreen
Paganini Nicolo,195,4222,PDC,orange
Molina Fabian,196,4223,PSS,r
Wasserfallen Flavia,197,4224,PSS,r
Kutter Philipp,198,4225,PDC,orange
Wüthrich Adrian,199,4226,PSS,r
